Price,Close,High,Low,Open,Volume,Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
Date,,,,,,
2015-01-02,8395.4501953125,8410.599609375,8288.7001953125,8288.7001953125,101900,
2015-01-05,8378.400390625,8445.599609375,8363.900390625,8407.9501953125,118200,-0.002640090236748105
2015-01-06,8127.35009765625,8327.849609375,8111.35009765625,8325.2998046875,172800,-0.03895318505243084
2015-01-07,8102.10009765625,8151.2001953125,8065.4501953125,8118.64990234375,164100,-0.004038831797028864
2015-01-08,8234.599609375,8243.5,8167.2998046875,8191.39990234375,143800,0.021259841665521063
2015-01-09,8284.5,8303.2998046875,8190.7998046875,8285.4501953125,148000,0.007877797450970992
2015-01-12,8323.0,8332.599609375,8245.599609375,8291.349609375,103200,0.006041402619349423
2015-01-13,8299.400390625,8356.650390625,8267.900390625,8346.150390625,129600,-0.0036861098386999913
2015-01-14,8277.5498046875,8326.4501953125,8236.650390625,8307.25,146100,-0.0034226281877950625
2015-01-15,8494.150390625,8527.099609375,8380.5498046875,8424.5,232100,0.034017404710666124
2015-01-16,8513.7998046875,8530.75,8452.25,8504.0498046875,176000,0.0030072740776337925
2015-01-19,8550.7001953125,8570.9501953125,8531.5,8550.0498046875,125400,0.005634441602219509
2015-01-20,8695.599609375,8707.900390625,8574.5,8575.099609375,158700,0.022029685754216332
2015-01-21,8729.5,8741.849609375,8689.599609375,8719.650390625,185900,0.005068139034942055
2015-01-22,8761.400390625,8774.150390625,8727.0,8745.849609375,175500,0.0047506166232314856
2015-01-23,8835.599609375,8866.400390625,8795.400390625,8827.9501953125,191200,0.011009539579793115
2015-01-27,8910.5,8925.0498046875,8825.4501953125,8871.349609375,192000,0.011020249005985283
2015-01-28,8914.2998046875,8985.0498046875,8874.0498046875,8902.75,185100,0.0005543736146962353
2015-01-29,8952.349609375,8966.650390625,8861.25,8901.5,256300,0.005548921079335733
2015-01-30,8808.900390625,8996.599609375,8775.099609375,8996.599609375,267300,-0.020830730759186622
2015-02-02,8797.400390625,8840.7998046875,8751.099609375,8802.5,210100,-0.0016971471281375995
2015-02-03,8756.5498046875,8837.2998046875,8726.650390625,8823.150390625,208700,-0.006036528901804073
2015-02-04,8723.7001953125,8792.849609375,8704.400390625,8789.150390625,195300,-0.004876862821546402
2015-02-05,8711.7001953125,8838.4501953125,8683.650390625,8733.099609375,173600,-0.0017882320174622546
2015-02-06,8661.0498046875,8726.2001953125,8645.5498046875,8696.849609375,171300,-0.0075582844147838784
2015-02-09,8526.349609375,8605.5498046875,8516.349609375,8584.400390625,146800,-0.020218132657715226
2015-02-10,8565.5498046875,8646.25,8470.5,8478.099609375,196200,0.00597679619543372
2015-02-11,8627.400390625,8651.9501953125,8593.650390625,8603.2998046875,161600,0.009387110407640998
2015-02-12,8711.5498046875,8732.5498046875,8599.25,8676.9501953125,158800,0.012679861062217834
2015-02-13,8805.5,8822.099609375,8729.650390625,8741.5,221900,0.014019922590642931
2015-02-16,8809.349609375,8870.099609375,8793.400390625,8831.400390625,136400,0.0005683370833569068
2015-02-18,8869.099609375,8894.2998046875,8808.900390625,8811.5498046875,147600,0.008817336516799902
2015-02-19,8895.2998046875,8913.4501953125,8794.4501953125,8883.0498046875,213300,0.003840328264015436
2015-02-20,8833.599609375,8899.9501953125,8816.2998046875,8895.5,197600,-0.00901715014304324
2015-02-23,8754.9501953125,8869.0,8736.099609375,8856.849609375,139600,-0.011574470521930802
2015-02-24,8762.099609375,8800.5,8726.75,8772.900390625,149800,0.0010615980758206245
2015-02-25,8767.25,8840.650390625,8751.400390625,8801.900390625,135200,0.0007641442246714592
2015-02-26,8683.849609375,8786.0498046875,8669.4501953125,8779.0,217500,-0.012366535437280779
2015-02-27,8844.599609375,8856.9501953125,8717.4501953125,8729.5,249500,0.02406478801456822
2015-03-02,8956.75,8972.349609375,8885.4501953125,8953.849609375,218100,0.016484127518668058
2015-03-03,8996.25,9008.400390625,8925.5498046875,8962.849609375,177800,0.005733106316465309
2015-03-04,8922.650390625,9119.2001953125,8893.9501953125,9109.150390625,248400,-0.010635486140058303
2015-03-05,8937.75,8957.5498046875,8849.349609375,8929.400390625,160100,0.0021999620435790624
2015-03-09,8756.75,8891.2998046875,8740.4501953125,8891.150390625,155500,-0.02632653632066232
2015-03-10,8712.0498046875,8778.0,8677.349609375,8769.75,163800,-0.006636052634396317
2015-03-11,8699.9501953125,8755.599609375,8682.349609375,8728.75,172800,-0.0018054869451087363
2015-03-12,8776.0,8787.2001953125,8732.900390625,8740.650390625,173900,0.011363828973069047
2015-03-13,8647.75,8849.75,8631.75,8844.0498046875,179200,-0.018997835004557952
2015-03-16,8633.150390625,8663.5498046875,8612.0,8656.75,163300,-0.0021947318305339247
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.013574909850813622
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.005573491610952586
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.007670477095490392
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.009597956634119364
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.0030335202621697534
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.001208674342363003
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0018489523468329216
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.028748094422107275
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-0.00011687633935439923
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.023517542510215362
2015-03-31,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.00019897390961362004
2015-04-01,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.014583087975503428
2015-04-06,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.011151027260154224
2015-04-07,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,5.995892075283393e-05
2015-04-08,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,0.008121053924793965
2015-04-09,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,0.009532410097958955
2015-04-10,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,0.0003035606157273829
2015-04-13,8834.0,8841.650390625,8762.099609375,8801.75,121600,0.007943363409815829
2015-04-16,8706.7001953125,8760.0,8645.650390625,8757.0498046875,142900,-0.018733274404997693
2015-04-17,8606.0,8699.849609375,8596.7001953125,8698.0498046875,150400,-0.015035576161991748
2015-04-20,8448.099609375,8619.9501953125,8422.75,8618.7998046875,148900,-0.02385202275302122
2015-04-21,8377.75,8469.349609375,8352.7001953125,8416.099609375,407800,-0.010825451452538649
2015-04-22,8429.7001953125,8449.9501953125,8284.7001953125,8400.400390625,171800,0.008061263931992513
2015-04-23,8398.2998046875,8504.9501953125,8361.849609375,8478.2001953125,156000,-0.004842462586652707
2015-04-24,8305.25,8413.2998046875,8273.349609375,8405.7001953125,173600,-0.014403480336131069
2015-04-27,8213.7998046875,8334.4501953125,8202.349609375,8330.5498046875,171500,-0.014314470233436705
2015-04-28,8285.599609375,8308.0,8185.14990234375,8215.5498046875,174600,0.011363771739418627
2015-04-29,8239.75,8308.2001953125,8219.2001953125,8274.7998046875,160400,-0.007193745172052357
2015-04-30,8181.5,8229.400390625,8144.75,8224.5,267700,-0.00919020601353191
2015-05-04,8331.9501953125,8346.0,8220.4501953125,8230.0498046875,131700,0.02390579403608739
2015-05-05,8324.7998046875,8355.650390625,8280.599609375,8338.400390625,155500,-0.0011156461086060721
2015-05-06,8097.0,8331.9501953125,8083.0,8316.599609375,209600,-0.0355731973190515
2015-05-07,8057.2998046875,8122.60009765625,7997.14990234375,8077.0,161600,-0.006373997024360889
2015-05-08,8191.5,8224.9501953125,8123.4501953125,8131.5,183100,0.021652446618003942
2015-05-11,8325.25,8332.75,8224.650390625,8243.2001953125,192000,0.021226271134712895
2015-05-12,8126.9501953125,8326.650390625,8115.2998046875,8326.150390625,173400,-0.03096480539248078
2015-05-13,8235.4501953125,8254.9501953125,8089.7998046875,8181.5498046875,169800,0.017355834182588747
2015-05-14,8224.2001953125,8236.25,8137.2998046875,8232.4501953125,134800,-0.0017758592005478692
2015-05-15,8262.349609375,8279.2001953125,8212.2001953125,8240.2998046875,129800,0.006030281012555827
2015-05-18,8373.650390625,8384.599609375,8271.9501953125,8284.9501953125,148700,0.017512090684328487
2015-05-19,8365.650390625,8427.7998046875,8335.0,8356.2001953125,140300,-0.001241991188412117
2015-05-20,8423.25,8440.349609375,8391.4501953125,8392.650390625,123600,0.008950827334526746
2015-05-21,8421.0,8446.349609375,8382.5,8434.5,143800,-0.00034725313863420704
2015-05-22,8458.9501953125,8489.5498046875,8420.599609375,8432.5,187300,0.00585859801760491
2015-05-25,8370.25,8441.9501953125,8364.150390625,8438.150390625,121300,-0.0136317452217828
2015-05-26,8339.349609375,8378.900390625,8320.0498046875,8377.099609375,116800,-0.004799200479376309
2015-05-27,8334.599609375,8342.849609375,8277.9501953125,8302.75,165500,-0.0007404654186770054
2015-05-28,8319.0,8364.5,8270.150390625,8345.7001953125,232300,-0.0024331693348159213
2015-05-29,8433.650390625,8443.900390625,8305.7001953125,8327.099609375,363900,0.01791627693382627
2015-06-01,8433.400390625,8467.150390625,8405.400390625,8417.25,122200,-3.853610061437252e-05
2015-06-02,8236.4501953125,8445.349609375,8226.0498046875,8442.7998046875,146800,-0.030359670126758366
2015-06-03,8135.10009765625,8236.7001953125,8094.14990234375,8232.4501953125,171400,-0.01599659122908421
2015-06-04,8130.64990234375,8160.0498046875,8056.75,8155.14990234375,154700,-0.0007111472307411493
2015-06-05,8114.7001953125,8191.0,8100.14990234375,8119.14990234375,162100,-0.002550179799851904
2015-06-08,8044.14990234375,8131.0,8030.5498046875,8124.35009765625,135900,-0.011302374536566939
2015-06-09,8022.39990234375,8057.14990234375,8005.14990234375,8026.5,136000,-0.003514976764886235
2015-06-10,8124.4501953125,8152.25,8023.7998046875,8024.14990234375,136800,0.016536869574479553
2015-06-11,7965.35009765625,8163.0498046875,7958.25,8157.2998046875,166200,-0.025457738306089696
2015-06-12,7982.89990234375,7995.60009765625,7940.2998046875,7959.85009765625,136600,0.0028642490052588343
2015-06-15,8013.89990234375,8057.7001953125,7944.85009765625,7986.60009765625,133000,0.005048290783173615
2015-06-16,8047.2998046875,8061.85009765625,7952.35009765625,8004.2001953125,124000,0.00541807029985204
2015-06-17,8091.5498046875,8136.85009765625,8048.9501953125,8084.2001953125,152500,0.007148360493105077
2015-06-18,8174.60009765625,8186.89990234375,8101.7998046875,8113.7001953125,144800,0.013342979214788931
2015-06-19,8224.9501953125,8250.7998046875,8195.650390625,8201.150390625,147100,0.008007135048953984
2015-06-22,8353.099609375,8369.4501953125,8257.400390625,8259.2998046875,122700,0.020254741284171398
2015-06-23,8381.5498046875,8398.4501953125,8334.9501953125,8377.4501953125,131700,0.004427728105234108
2015-06-24,8360.849609375,8421.349609375,8338.900390625,8399.400390625,130100,-0.0032106537016817096
2015-06-25,8398.0,8423.150390625,8329.5,8336.25,201200,0.005776387576490505
2015-06-26,8381.099609375,8408.5498046875,8339.7001953125,8393.9501953125,110600,-0.002616159539473717
2015-06-29,8318.400390625,8329.4501953125,8195.650390625,8247.0498046875,132000,-0.009725332972277845
2015-06-30,8368.5,8378.0,8298.9501953125,8316.349609375,158500,0.007829569283645088
2015-07-01,8453.0498046875,8481.599609375,8370.150390625,8376.25,131800,0.013134342605455096
2015-07-02,8444.900390625,8479.25,8433.2001953125,8471.9501953125,112000,-0.001253303662705929
2015-07-03,8484.900390625,8497.75,8424.150390625,8440.099609375,88400,0.006157562267723993
2015-07-06,8522.150390625,8533.150390625,8386.150390625,8386.150390625,101500,0.00570719722926909
2015-07-07,8510.7998046875,8561.349609375,8483.849609375,8525.5,122200,-0.001731459906525701
2015-07-08,8363.0498046875,8457.5,8341.400390625,8439.2001953125,188100,-0.02256838421862665
2015-07-09,8328.5498046875,8400.2998046875,8323.0,8364.849609375,131300,-0.0053628761094860035
2015-07-10,8360.5498046875,8377.099609375,8315.400390625,8365.7001953125,154100,0.004994867170823247
2015-07-13,8459.650390625,8471.650390625,8355.400390625,8397.25,117800,0.015409364782028834
2015-07-14,8454.099609375,8480.25,8424.099609375,8470.599609375,101700,-0.0008529921795582762
2015-07-15,8523.7998046875,8531.400390625,8462.9501953125,8463.400390625,105500,0.010717907062009169
2015-07-16,8608.0498046875,8616.099609375,8542.900390625,8546.150390625,116000,0.012849316327181693
2015-07-17,8609.849609375,8642.9501953125,8593.150390625,8623.650390625,105000,0.0002718090795054584
2015-07-20,8603.4501953125,8624.099609375,8559.0,8623.900390625,90600,-0.0009662466429368411
2015-07-21,8529.4501953125,8646.75,8517.900390625,8601.5,164100,-0.01118156063161886
2015-07-22,8633.5,8643.900390625,8498.650390625,8512.25,136800,0.015858553950885004
2015-07-23,8589.7998046875,8654.75,8573.7998046875,8643.9501953125,132900,-0.006580211259193902
2015-07-24,8521.5498046875,8589.150390625,8513.5,8588.150390625,127400,-0.010329111506368616
2015-07-27,8361.0,8492.2001953125,8351.5498046875,8492.099609375,136600,-0.02449258067809934
2015-07-28,8337.0,8397.400390625,8321.75,8371.099609375,174600,-0.0037316110513096246
2015-07-29,8375.0498046875,8381.5,8338.4501953125,8365.599609375,141000,0.0059331589413157415
2015-07-30,8421.7998046875,8458.900390625,8408.2998046875,8417.0,215200,0.007256673263720037
2015-07-31,8532.849609375,8548.9501953125,8448.0,8456.099609375,203300,0.0171417926621098
2015-08-03,8543.0498046875,8563.9501953125,8508.099609375,8510.650390625,156700,0.001554024096672335
2015-08-04,8516.900390625,8565.150390625,8448.25,8564.099609375,187400,-0.003979168921922649
2015-08-05,8567.9501953125,8591.849609375,8545.849609375,8547.4501953125,132800,0.0077921242529501505
2015-08-06,8588.650390625,8606.2998046875,8551.5,8585.7998046875,134900,0.003140804193863356
2015-08-07,8564.599609375,8595.9501953125,8552.7001953125,8580.7998046875,143700,-0.0036403875117711594
2015-08-10,8525.599609375,8621.5498046875,8497.7998046875,8577.0,123400,-0.005919716310439427
2015-08-11,8462.349609375,8556.25,8441.2998046875,8548.4501953125,154400,-0.009644482941655241
2015-08-12,8349.4501953125,8446.9501953125,8337.9501953125,8445.7001953125,190000,-0.017343792806509873
2015-08-13,8355.849609375,8429.5,8339.75,8384.4501953125,189200,0.000996381568443927
